NAME,B19013_001E,B01003_001E,zip code tabulation area
ZCTA5 02155,118403,61276,02155
ZCTA5 02163,74028,1852,02163
ZCTA5 02169,92080,60928,02169
ZCTA5 02170,101840,19685,02170
ZCTA5 02171,104992,20513,02171
ZCTA5 02176,126854,29488,02176
ZCTA5 02180,112635,22986,02180
ZCTA5 02184,125305,38762,02184
ZCTA5 02186,177222,28716,02186
ZCTA5 02188,102236,15396,02188
ZCTA5 02189,91842,15231,02189
ZCTA5 02190,99024,19029,02190
ZCTA5 02191,116496,8130,02191
ZCTA5 02199,118367,1253,02199
ZCTA5 02203,-666666666,0,02203
ZCTA5 02205,-666666666,0,02205
ZCTA5 02210,178833,6554,02210
ZCTA5 02215,65827,24054,02215
ZCTA5 02301,72727,68608,02301
ZCTA5 02302,87560,36472,02302
ZCTA5 02322,129487,4753,02322
ZCTA5 02324,112445,26022,02324
ZCTA5 02325,-666666666,2647,02325
ZCTA5 02330,78955,11645,02330
ZCTA5 02332,171471,16110,02332
ZCTA5 02333,128679,14420,02333
ZCTA5 02338,106851,7734,02338
ZCTA5 02339,174821,14800,02339
ZCTA5 02341,112457,10466,02341
ZCTA5 02343,107198,11267,02343
ZCTA5 02346,91914,24360,02346
ZCTA5 02347,126182,11732,02347
ZCTA5 02350,86023,149,02350
ZCTA5 02351,119787,17008,02351
ZCTA5 02356,124719,12547,02356
ZCTA5 02357,-666666666,1410,02357
ZCTA5 02359,141332,18335,02359
ZCTA5 02360,111975,62405,02360
ZCTA5 02364,115863,13782,02364
ZCTA5 02366,-666666666,251,02366
ZCTA5 02367,119750,2934,02367
ZCTA5 02368,103321,34736,02368
ZCTA5 02370,101475,17709,02370
ZCTA5 02375,117717,11205,02375
ZCTA5 02379,124483,7682,02379
ZCTA5 02382,107794,15215,02382
ZCTA5 02420,233068,16287,02420
ZCTA5 02421,212843,17798,02421
ZCTA5 02445,145878,22568,02445
ZCTA5 02446,127519,31109,02446
ZCTA5 02451,119509,18153,02451
ZCTA5 02452,112902,16173,02452
ZCTA5 02453,114029,30314,02453
ZCTA5 02457,-666666666,1886,02457
ZCTA5 02458,151782,13308,02458
ZCTA5 02459,214941,18604,02459
ZCTA5 02460,154329,10033,02460
ZCTA5 02461,207292,6717,02461
ZCTA5 02462,210682,1459,02462
ZCTA5 02464,125846,3730,02464
ZCTA5 02465,174518,11297,02465
ZCTA5 02466,170852,8553,02466
ZCTA5 02467,173854,22325,02467
ZCTA5 02468,250001,5901,02468
ZCTA5 02472,123383,35317,02472
ZCTA5 02474,139199,28283,02474
ZCTA5 02476,145150,17732,02476
ZCTA5 02478,177790,26966,02478
ZCTA5 02481,250001,17262,02481
ZCTA5 02482,240069,10758,02482
ZCTA5 02492,222063,21481,02492
ZCTA5 02493,250001,11443,02493
ZCTA5 02494,173750,10578,02494
ZCTA5 02532,89411,13180,02532
ZCTA5 02534,171169,1284,02534
ZCTA5 02535,144833,2393,02535
ZCTA5 02536,95295,21100,02536
ZCTA5 02537,131150,6486,02537
ZCTA5 02538,110882,4556,02538
ZCTA5 02539,89710,5212,02539
ZCTA5 02540,88266,8354,02540
ZCTA5 02542,55000,854,02542
ZCTA5 02543,73611,810,02543
ZCTA5 02553,-666666666,38,02553
ZCTA5 02554,125524,14033,02554
ZCTA5 02556,133929,2586,02556
ZCTA5 02557,95287,1849,02557
